ID,X,Y,TerrainType,FeatureType,ContinentType,ResourceType,ResourceCount
0,0,0,TERRAIN_OCEAN,"","","",0
1,1,0,TERRAIN_OCEAN,"","","",0
2,2,0,TERRAIN_OCEAN,"","","",0
3,3,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
4,4,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
5,5,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
6,6,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
7,7,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
8,8,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
9,9,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
10,10,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
11,11,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
12,12,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
13,13,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
14,14,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
15,15,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
16,16,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
17,17,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
18,18,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
19,19,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
20,20,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
21,21,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
22,22,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
23,23,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
24,24,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
25,25,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
26,26,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
27,27,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
28,28,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
29,29,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
30,30,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
31,31,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
32,32,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
33,33,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
34,34,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
35,35,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
36,36,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
37,37,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
38,38,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
39,39,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
40,40,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
41,41,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
42,42,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
43,43,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
44,44,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
45,45,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
46,46,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
47,47,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
48,48,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
49,49,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
50,50,0,TERRAIN_OCEAN,"","","",0
51,51,0,TERRAIN_OCEAN,"","","",0
52,52,0,TERRAIN_OCEAN,"","","",0
53,53,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
54,54,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
55,55,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
56,56,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
57,57,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
58,58,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
59,59,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
60,60,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
61,61,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
62,62,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
63,63,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
64,64,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
65,65,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
66,66,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
67,67,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
68,68,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
69,69,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
70,70,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
71,71,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
72,72,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
73,73,0,TERRAIN_OCEAN,FEATURE_ICE,"","",0
